"Html tag ""%1"" is forbidden for usage in containers. Consider to use one of the allowed: %2.","Html tag ""%1"" is forbidden for usage in containers. Consider to use one of the allowed: %2."
"HTML ID or class will not have effect, if HTML tag is not specified.","HTML ID or class will not have effect, if HTML tag is not specified."
label,label
"Element name and destination must be specified.","Element name and destination must be specified."
"Invalid layout update handle","Invalid layout update handle"
"Theme layout update file '%1' is not valid.\n%2","Theme layout update file '%1' is not valid.\n%2"
"Theme layout update file '%1' must not declare page types.","Theme layout update file '%1' must not declare page types."
"Unable to find a physical ancestor for a theme '%1'.","Unable to find a physical ancestor for a theme '%1'."
"Helper arguments should not be used in custom layout updates.","Helper arguments should not be used in custom layout updates."
"Updater model should not be used in custom layout updates.","Updater model should not be used in custom layout updates."
"Please correct the XML data and try again. %value%","Please correct the XML data and try again. %value%"
"Please correct the XSD data and try again. %value%","Please correct the XSD data and try again. %value%"
"%1 isn't allowed","%1 isn't allowed"
"-- Please Select --","-- Please Select --"
"This class must implement the ""CompilerInterface""","This class must implement the ""CompilerInterface"""
"This class must implement the ""ResultInterface""","This class must implement the ""ResultInterface"""
"This class needs to inherit from a class ""Template"". Verify the class and try again.","This class needs to inherit from a class ""Template"". Verify the class and try again."
"Processed schema file is not valid.","Processed schema file is not valid."
"Please correct the XSD data and try again.","Please correct the XSD data and try again."
"my message","my message"
"Internal Error. Details are available in Magento log file. Report ID: %1","Internal Error. Details are available in Magento log file. Report ID: %1"
"Server internal error. See details in report api/%1","Server internal error. See details in report api/%1"
"Incorrect format of request URI or Requested services are missing.","Incorrect format of request URI or Requested services are missing."
"Content-Type header is empty.","Content-Type header is empty."
"Content-Type header is invalid.","Content-Type header is invalid."
"UTF-8 is the only supported charset.","UTF-8 is the only supported charset."
"Request method is invalid.","Request method is invalid."
"Decoding error.","Decoding error."
"Decoding error: %1%2%3%4","Decoding error: %1%2%3%4"
"Decoding Error: %1","Decoding Error: %1"
"Server cannot understand Content-Type HTTP header media type %1","Server cannot understand Content-Type HTTP header media type %1"
"The %1 HTTP method is not supported.","The %1 HTTP method is not supported."
"Server cannot match any of the given Accept HTTP header media type(s) from the request: ""%1"" with media types from the config of response renderer.","Server cannot match any of the given Accept HTTP header media type(s) from the request: ""%1"" with media types from the config of response renderer."
"Error occurred during ""%field_name"" processing. %details","Error occurred during ""%field_name"" processing. %details"
"Attribute ""%attribute_code"" has invalid value. %details","Attribute ""%attribute_code"" has invalid value. %details"
"An empty custom attribute is specified. Enter the attribute and try again.","An empty custom attribute is specified. Enter the attribute and try again."
"A custom attribute is specified with a missing attribute code. Verify the code and try again.","A custom attribute is specified with a missing attribute code. Verify the code and try again."
"The ""' . . '"" attribute code doesn't have a value set. Enter the value and try again.","The ""' . . '"" attribute code doesn't have a value set. Enter the value and try again."
"Consumer %consumer_id is not authorized to access %resources","Consumer %consumer_id is not authorized to access %resources"
"Exception message.","Exception message."
Message.,Message.
"Maximum items of type ""%type"" is %max","Maximum items of type ""%type"" is %max"
"Maximum SearchCriteria pageSize is %max","Maximum SearchCriteria pageSize is %max"
"String with translate","String with translate"
"Indexer public name one","Indexer public name one"
"Indexer public description one","Indexer public description one"
"Indexer public name two","Indexer public name two"
"Indexer public description two","Indexer public description two"
"Indexer public name three","Indexer public name three"
"Indexer public description three","Indexer public description three"
"Test Translate","Test Translate"
CSV,CSV
"Move to Archive","Move to Archive"
"Test title","Test title"
One,One
Two,Two
"Home Page","Home Page"
"Default Config","Default Config"
"Save Config","Save Config"
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
"Use system value","Use system value"
"Use Default","Use Default"
"Use Website","Use Website"
Add,Add
"Delete File","Delete File"
"Search String","Search String"
"Design Theme","Design Theme"
"Add \Exception","Add \Exception"
Enable,Enable
Disable,Disable
Configuration,Configuration
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"%1 should implement %2","%1 should implement %2"
"The value you set has already been locked. To change the value, use the --%1 option.","The value you set has already been locked. To change the value, use the --%1 option."
%1,%1
System,System
"You saved the configuration.","You saved the configuration."
"Something went wrong while saving this configuration:","Something went wrong while saving this configuration:"
"Something went wrong while saving this configuration.","Something went wrong while saving this configuration."
"Please specify the admin custom URL.","Please specify the admin custom URL."
"Invalid %1. %2","Invalid %1. %2"
"Value must be a URL or one of placeholders: %1","Value must be a URL or one of placeholders: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Specify a URL or path that starts with placeholder(s): %1, and ends with ""/""."
"%1 An empty value is allowed as well.","%1 An empty value is allowed as well."
"Specify a fully qualified URL.","Specify a fully qualified URL."
"Selected allowed currency ""%1"" is not available in installed currencies.","Selected allowed currency ""%1"" is not available in installed currencies."
"Default display currency ""%1"" is not available in allowed currencies.","Default display currency ""%1"" is not available in allowed currencies."
"Sorry, we haven't installed the base currency you selected.","Sorry, we haven't installed the base currency you selected."
"We can't save the Cron expression.","We can't save the Cron expression."
"Sorry, we haven't installed the default display currency you selected.","Sorry, we haven't installed the default display currency you selected."
"Sorry, the default display currency you selected is not available in allowed currencies.","Sorry, the default display currency you selected is not available in allowed currencies."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","The sender name ""%1"" is not valid. Please use only visible characters and spaces."
"Maximum sender name length is 255. Please correct your settings.","Maximum sender name length is 255. Please correct your settings."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","The file you're uploading exceeds the server size limit of %1 kilobytes."
"The base directory to upload file is not specified.","The base directory to upload file is not specified."
"The specified image adapter cannot be used because of: %1","The specified image adapter cannot be used because of: %1"
"Default scope","Default scope"
"Base currency","Base currency"
"Display default currency","Display default currency"
"website(%1) scope","website(%1) scope"
"store(%1) scope","store(%1) scope"
"Currency ""%1"" is used as %2 in %3.","Currency ""%1"" is used as %2 in %3."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"Always (during development)","Always (during development)"
"Only Once (version upgrade)","Only Once (version upgrade)"
"Never (production)","Never (production)"
Bcc,Bcc
"Separate Email","Separate Email"
"%1 (Default)","%1 (Default)"
title,title
No,No
Optional,Optional
Required,Required
Website,Website
Store,Store
"Store View","Store View"
"HTTP (unsecure)","HTTP (unsecure)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Yes (302 Found)"
"Yes (301 Moved Permanently)","Yes (301 Moved Permanently)"
Yes,Yes
Specified,Specified
"Visible section not found.","Visible section not found."
"Config form fieldset clone model required to be able to clone fields","Config form fieldset clone model required to be able to clone fields"
"%1: Instance of %2 is expected, got %3 instead","%1: Instance of %2 is expected, got %3 instead"
"'There is no defined type ' .","'There is no defined type ' ."
"'Object is not instance of ' .","'Object is not instance of ' ."
"Filesystem is not writable.","Filesystem is not writable."
"Some message","Some message"
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed."
"This command is unavailable right now.","This command is unavailable right now."
"The ""test/test/test"" path does not exists","The ""test/test/test"" path does not exists"
"error message","error message"
"The  ""%1"" path doesn't exist. Verify and try again.","The  ""%1"" path doesn't exist. Verify and try again."
some_label,some_label
some_comment,some_comment
"some prefix","some prefix"
"element label","element label"
"element hint","element hint"
"element comment","element comment"
"element tooltip","element tooltip"
test2,test2
Action,Action
"Add after","Add after"
Delete,Delete
"Current Configuration Scope:","Current Configuration Scope:"
Stores,Stores
"Group Label","Group Label"
"Some Label","Some Label"
"Tab Label","Tab Label"
"Allow everything","Allow everything"
"Magento Admin","Magento Admin"
Dashboard,Dashboard
"Manage Stores","Manage Stores"
"Field 2","Field 2"
"Field 3","Field 3"
"Field 3.1","Field 3.1"
"Field 3.1.1","Field 3.1.1"
"Field 4","Field 4"
"Advanced Section","Advanced Section"
"Advanced Admin Section","Advanced Admin Section"
"Design Section","Design Section"
"General Section","General Section"
"System Section","System Section"
"Currency Setup Section","Currency Setup Section"
"Developer Section","Developer Section"
"Web Section","Web Section"
"Store Email Addresses Section","Store Email Addresses Section"
"Email to a Friend","Email to a Friend"
"Invalid data type","Invalid data type"
"Invalid value provided for attribute %1","Invalid value provided for attribute %1"

